Critical Path CSS;;Adopt;Techniques;;;
Design systems;;Adopt;Techniques;;;
HTTP2;;Adopt;Techniques;;;
Progressive Web Apps;;Adopt;Techniques;;;
SVG sprite icon ;;Adopt;Techniques;;;
Monorepo ;;Adopt;Techniques;;;
Icon font;;On Hold;Techniques;;;
Babel;;Adopt;Tools;;;
ESLint;;Adopt;Tools;;;
GraphQL;;Adopt;Tools;;;
Gulp;;On Hold;Tools;;;
NativeScript;;Trial;Tools;;;
Storybook;;Adopt;Tools;;;
PostCSS;;Adopt;Tools;;;
Prettier;;Adopt;Tools;;;
Stylelint;;Adopt;Tools;;;
Webpack ;;Adopt;Tools;;;
Grunt;;On Hold;Tools;;;
Modernizr;;On Hold;Tools;;;
Angular;;Trial;Languages and frameworks;;;
Anime.js;;Trial;Languages and frameworks;;;
Bulma.io;;On Hold;Languages and frameworks;;;
Date-fns;;Adopt;Languages and frameworks;;;
ExpressJS;;Trial;Languages and frameworks;;;
Greensock;;Trial;Languages and frameworks;;;
Handlebars;;On Hold;Languages and frameworks;;;
Jest;;Adopt;Languages and frameworks;;;
Knockout;;On Hold;Languages and frameworks;;;
Lodash;;Adopt;Languages and frameworks;;;
Moment.js;;On Hold;Languages and frameworks;;;
Pug;;On Hold;Languages and frameworks;;;
React;;Adopt;Languages and frameworks;;;
SASS;;Adopt;Languages and frameworks;;;
Tailwind CSS;;On Hold;Languages and frameworks;;;
Twitter Bootstrap;;On Hold;Languages and frameworks;;;
TypeScript;;Adopt;Languages and frameworks;;;
Vue;;Adopt;Languages and frameworks;;;
Web components;;Trial;Languages and frameworks;;;
Zurb Foundation ;;On Hold;Languages and frameworks;;;
AngularJs;;On Hold;Languages and frameworks;;;
jQuery;;On Hold;Languages and frameworks;;;
LESS;;On Hold;Languages and frameworks;;;
Suzy;;On Hold;Languages and frameworks;;;
Underscore ;;On Hold;Languages and frameworks;;;
Cypress;;Adopt;Languages and frameworks;;;
Nuxt;;Adopt;Unsorted;;;
A11y;;Adopt;Unsorted;;;
Conventional Commits;;Trial;Unsorted;;;
React-native;;Trial;Unsorted;;;
npm;;Adopt;Unsorted;;;
yarn;;Assess;Unsorted;;;
Mocha;;On Hold;Unsorted;;;
Zeplin;;On Hold;Unsorted;;;
CI;;Adopt;Unsorted;;;
next gen bundlers (snowpack);;Assess;Unsorted;;;
DayJS;;Assess;Unsorted;;;
CoreJS;;Adopt;Unsorted;;;
Sonarqube;;Adopt;Unsorted;;;
Lighthouse CLI;;Adopt;Unsorted;;;
D3js;;Adopt;Unsorted;;;
gRPC;;Assess;Unsorted;;;
CQRS;;Trial;Unsorted;;;
WebAssembly;;Assess;Unsorted;;;
parcel;;Assess;Unsorted;;;
Application Insights;;Trial;Unsorted;;;
Micro Frontends;;Adopt;Unsorted;;;
githooks;;Adopt;Unsorted;;;
dependency drift fitness function ;;Adopt;Unsorted;;;
polyfill.io;;Adopt;Unsorted;;;
Apollo;;Adopt;Unsorted;;;
NodeJS;;Adopt;Unsorted;;;
NEXT;;Trial;Unsorted;;;
Fractal.build;;Trial;Unsorted;;;
Svelte;;Trial;Unsorted;;;
Gatsby;;Assess;Unsorted;;;
Netlify /vercel / heroku;;Assess;Unsorted;;;
Lottie;;Adopt;Unsorted;;;
component libraries & styleguides;;Adopt;Unsorted;;;
Semantic Releases;;Trial;Unsorted;;;
webRTC;;Assess;Unsorted;;;
styleguidist;;Assess;Unsorted;;;
Serveless;;Assess;Unsorted;;;
Cloud functions;;Assess;Unsorted;;;
Vite;;Assess;Unsorted;;;
React/Vue testing library;;Trial;Unsorted;;;
Figma;;Trial;Unsorted;;;
css in js;;Adopt;Unsorted;;;
Debugbear;;Adopt;Unsorted;;;
Jamstack / Mach;;Adropt;Unsorted;;;
SXA;;On Hold;Unsorted;;;
